,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
6926, E Class,2017,21599,Semi-Auto,28234,Diesel,145,65.7,2.0
6927, E Class,2017,18999,Semi-Auto,50000,Diesel,145,72.4,2.0
6928, E Class,2017,20699,Semi-Auto,26442,Diesel,145,72.4,2.0
6929, E Class,2017,22499,Semi-Auto,19493,Diesel,145,65.7,2.0
6930, C Class,2019,26499,Semi-Auto,11700,Petrol,145,47.1,1.5
6931, C Class,2019,24399,Semi-Auto,15028,Petrol,145,46.3,1.5
6932, C Class,2019,28299,Semi-Auto,5005,Diesel,145,56.5,2.0
6933, C Class,2019,20299,Semi-Auto,14496,Petrol,145,46.3,1.5
6934, B Class,2019,22899,Semi-Auto,9288,Petrol,145,45.6,1.3
6935, C Class,2019,29999,Semi-Auto,5979,Petrol,145,44.1,2.0
6936, E Class,2020,44500,Semi-Auto,100,Diesel,145,42.8,3.0
6937, C Class,2020,34500,Semi-Auto,100,Diesel,145,48.7,2.0
6938, C Class,2020,34500,Semi-Auto,100,Diesel,145,48.7,2.0
6939, E Class,2020,44500,Semi-Auto,100,Diesel,145,42.8,3.0
6940, C Class,2020,31000,Semi-Auto,100,Diesel,145,64.2,2.0
6941, C Class,2020,30500,Semi-Auto,700,Diesel,145,64.2,2.0
6942, C Class,2020,30500,Semi-Auto,100,Diesel,145,64.2,2.0
6943, GLA Class,2020,27300,Semi-Auto,100,Petrol,145,35.8,1.6
6944, E Class,2019,24000,Semi-Auto,13945,Diesel,145,72.4,2.0
6945, S Class,2019,46250,Semi-Auto,9252,Diesel,145,52.3,3.0
6946, CL Class,2017,18099,Semi-Auto,42300,Diesel,125,58.9,2.1
6947, GLE Class,2017,30199,Semi-Auto,23632,Diesel,145,47.9,2.1
6948, E Class,2017,22299,Semi-Auto,21702,Diesel,145,65.7,2.0
6949, A Class,2019,21999,Manual,1738,Petrol,145,47.1,1.3
6950, B Class,2019,26599,Semi-Auto,2988,Diesel,145,55.4,2.0
6951, C Class,2019,26799,Semi-Auto,2277,Petrol,145,45.6,1.5
6952, C Class,2019,31499,Semi-Auto,9486,Diesel,145,54.3,2.0
6953, GLC Class,2019,38099,Semi-Auto,5052,Diesel,145,56.5,2.1
6954, E Class,2019,35349,Semi-Auto,11598,Diesel,145,48.7,3.0
6955, GLA Class,2018,22299,Semi-Auto,11597,Diesel,145,67.3,2.1
6956, E Class,2019,25999,Semi-Auto,12274,Diesel,145,72.4,2.0
6957, B Class,2019,22199,Semi-Auto,15798,Petrol,145,45.6,1.3
6958, E Class,2019,25499,Semi-Auto,10423,Diesel,145,72.4,2.0
6959, E Class,2019,24799,Semi-Auto,14027,Diesel,145,72.4,2.0
6960, C Class,2019,20849,Semi-Auto,10776,Diesel,145,61.4,2.0
6961, GLA Class,2018,18749,Manual,20646,Diesel,145,64.2,2.1
6962, E Class,2017,20849,Semi-Auto,23472,Diesel,145,72.4,2.0
6963, C Class,2018,28389,Semi-Auto,5454,Diesel,145,57.7,2.0
6964, C Class,2018,22849,Semi-Auto,8641,Petrol,145,45.6,1.5
6965, C Class,2019,20249,Semi-Auto,14426,Petrol,145,46.3,1.5
6966, A Class,2020,26500,Semi-Auto,3500,Diesel,150,56.5,2.0
6967, GLC Class,2018,35000,Semi-Auto,23500,Petrol,150,34.0,3.0
6968, CLS Class,2017,20000,Semi-Auto,26941,Diesel,145,57.7,2.1
6969, CLS Class,2016,19113,Semi-Auto,39972,Diesel,125,57.7,2.1
6970, A Class,2020,31500,Semi-Auto,1000,Hybrid,135,1.1,1.3
6971, C Class,2020,34500,Semi-Auto,100,Diesel,145,48.7,2.0
6972, C Class,2020,34500,Semi-Auto,100,Diesel,145,48.7,2.0
6973, C Class,2020,30500,Semi-Auto,100,Diesel,145,64.2,2.0
6974, E Class,2020,44500,Semi-Auto,2000,Diesel,145,42.8,3.0
6975, A Class,2020,26000,Semi-Auto,4250,Petrol,145,53.3,1.3
6976, A Class,2020,25500,Semi-Auto,2902,Petrol,145,53.3,1.3
6977, E Class,2019,39700,Semi-Auto,2077,Hybrid,135,188.3,2.0
6978, GLC Class,2019,36000,Semi-Auto,7800,Diesel,145,40.9,2.0
6979, GLC Class,2016,27000,Semi-Auto,8153,Diesel,125,56.5,2.1
6980, E Class,2019,62500,Automatic,3200,Petrol,145,30.1,4.0
6981, A Class,2020,26000,Semi-Auto,4500,Petrol,145,53.3,1.3
6982, GLC Class,2019,32148,Semi-Auto,4000,Diesel,145,44.8,2.0
6983, E Class,2019,27770,Semi-Auto,10825,Diesel,145,58.9,2.0
6984, GLC Class,2019,34800,Semi-Auto,10747,Diesel,145,40.9,2.0
6985, GLC Class,2019,51500,Semi-Auto,23500,Petrol,150,27.4,4.0
6986, GLC Class,2019,35159,Automatic,100,Diesel,145,47.9,2.0
6987, GLA Class,2015,17499,Semi-Auto,47000,Diesel,125,56.5,2.1
6988, C Class,2016,17399,Semi-Auto,36074,Diesel,30,64.2,1.6
6989, C Class,2017,22000,Semi-Auto,46512,Diesel,145,65.7,2.1
6990, E Class,2019,33680,Semi-Auto,9854,Petrol,145,40.4,2.0
6991, A Class,2019,24500,Semi-Auto,8092,Diesel,145,62.8,1.5
6992, C Class,2017,20600,Semi-Auto,29543,Diesel,145,60.1,2.1
6993, GLC Class,2019,32000,Semi-Auto,9023,Diesel,150,44.8,2.0
6994, B Class,2013,9500,Semi-Auto,40340,Petrol,150,47.9,1.6
6995, GLE Class,2018,45200,Semi-Auto,9139,Diesel,145,36.7,3.0
6996, E Class,2019,30879,Semi-Auto,7686,Diesel,145,65.7,2.0
6997, C Class,2018,23800,Semi-Auto,12745,Diesel,145,61.4,2.0
6998, E Class,2019,34950,Semi-Auto,13997,Diesel,145,48.7,3.0
6999, GLA Class,2015,20999,Semi-Auto,13510,Diesel,125,56.5,2.1
7000, C Class,2017,43949,Semi-Auto,14263,Petrol,300,32.8,4.0
7001, A Class,2016,12149,Manual,36001,Diesel,0,80.7,1.5
7002, A Class,2019,23199,Semi-Auto,2301,Petrol,145,53.3,1.3
7003, E Class,2017,20789,Semi-Auto,22960,Diesel,150,72.4,2.0
7004, A Class,2016,16799,Semi-Auto,16145,Petrol,125,52.3,1.6
7005, B Class,2018,13449,Semi-Auto,40908,Diesel,145,70.6,1.5
7006, CLS Class,2019,38500,Semi-Auto,3354,Diesel,145,48.7,2.9
7007, A Class,2016,27500,Semi-Auto,37132,Petrol,200,40.9,2.0
7008, C Class,2017,20500,Semi-Auto,40782,Diesel,145,58.9,2.1
7009, C Class,2019,28500,Automatic,8820,Diesel,145,57.7,2.0
7010, GLA Class,2019,23500,Semi-Auto,12246,Diesel,145,67.3,2.1
7011, CL Class,2019,25400,Semi-Auto,14090,Diesel,145,51.4,2.2
7012, C Class,2019,28150,Semi-Auto,10936,Diesel,145,57.7,2.0
7013, C Class,2019,26895,Semi-Auto,5678,Diesel,145,61.4,2.0
7014, C Class,2019,24500,Semi-Auto,15004,Diesel,145,61.4,2.0
7015, GLA Class,2019,24649,Semi-Auto,8108,Petrol,145,50.4,1.6
7016, C Class,2019,25549,Semi-Auto,8597,Petrol,145,46.3,1.5
7017, A Class,2019,23849,Semi-Auto,5036,Petrol,145,53.3,1.3
7018, C Class,2019,19749,Semi-Auto,14536,Petrol,145,46.3,1.5
7019, A Class,2019,19849,Manual,12187,Petrol,145,28.5,1.3
7020, CL Class,2019,26249,Semi-Auto,11830,Diesel,145,51.4,2.2
7021, C Class,2019,26249,Semi-Auto,3696,Petrol,145,43.5,2.0
7022, C Class,2019,29199,Semi-Auto,11242,Diesel,145,64.2,2.0
7023, CL Class,2019,25199,Semi-Auto,6354,Petrol,145,44.1,1.6
7024, B Class,2019,20200,Semi-Auto,9221,Petrol,145,45.6,1.3
7025, CL Class,2018,19000,Semi-Auto,3116,Diesel,145,67.3,2.1
7026, C Class,2018,25000,Automatic,11048,Diesel,145,65.7,2.1
7027, C Class,2019,44000,Semi-Auto,8023,Petrol,145,29.7,3.0
7028, S Class,2019,57000,Semi-Auto,7283,Diesel,145,48.7,3.0
7029, GLE Class,2017,43500,Semi-Auto,6001,Petrol,145,31.7,3.0
7030, C Class,2019,25000,Semi-Auto,10000,Diesel,145,60.1,1.6
7031, C Class,2019,24500,Semi-Auto,9200,Petrol,145,45.6,1.5
7032, CLS Class,2019,42000,Semi-Auto,12000,Diesel,145,47.9,2.9
7033, C Class,2019,26500,Semi-Auto,3000,Diesel,145,60.1,1.6
7034, C Class,2019,22800,Semi-Auto,19526,Petrol,145,45.6,1.5
7035, E Class,2019,25000,Semi-Auto,14521,Diesel,145,72.4,2.0
7036, GLA Class,2019,22400,Semi-Auto,13302,Diesel,145,67.3,2.1
7037, C Class,2017,19000,Semi-Auto,21657,Diesel,145,64.2,2.1
7038, B Class,2019,20000,Semi-Auto,11676,Petrol,145,45.6,1.3
7039, C Class,2019,28000,Semi-Auto,9231,Diesel,145,57.7,2.0
7040, C Class,2018,25000,Semi-Auto,11150,Diesel,145,67.3,2.1
7041, E Class,2019,28200,Semi-Auto,13615,Diesel,145,58.9,2.0
7042, E Class,2016,18850,Semi-Auto,24053,Diesel,125,56.5,2.1
7043, A Class,2020,25729,Semi-Auto,1000,Petrol,145,53.3,1.3
7044, C Class,2019,24648,Semi-Auto,10651,Diesel,145,60.1,2.1
7045, E Class,2019,35699,Semi-Auto,8911,Diesel,145,48.7,3.0
7046, GLC Class,2019,36349,Semi-Auto,2095,Diesel,145,44.8,2.0
7047, GLE Class,2019,55500,Semi-Auto,12000,Diesel,145,32.5,3.0
7048, E Class,2019,24799,Semi-Auto,13901,Diesel,145,72.4,2.0
7049, B Class,2019,20000,Semi-Auto,11312,Petrol,145,45.6,1.3
7050, GLE Class,2019,47499,Semi-Auto,5509,Diesel,145,36.7,3.0
7051, SL CLASS,2019,47789,Semi-Auto,2000,Petrol,150,36.7,3.0
7052, C Class,2017,27799,Semi-Auto,9880,Petrol,150,43.5,2.0
7053, B Class,2019,22999,Semi-Auto,4355,Diesel,145,55.4,2.0
7054, S Class,2015,32249,Automatic,8052,Petrol,325,31.7,4.7
7055, E Class,2015,18399,Semi-Auto,32397,Diesel,125,56.5,2.1
7056, C Class,2019,26099,Semi-Auto,9445,Petrol,145,47.1,1.5
7057, C Class,2019,19799,Semi-Auto,14380,Petrol,145,46.3,1.5
7058, C Class,2019,19799,Semi-Auto,14160,Petrol,145,46.3,1.5
7059, C Class,2019,25549,Semi-Auto,15012,Diesel,145,61.4,2.0
7060, C Class,2019,25699,Semi-Auto,11805,Petrol,145,47.1,1.5
7061, C Class,2019,26399,Semi-Auto,9961,Diesel,145,61.4,2.0
7062, GLC Class,2019,31399,Semi-Auto,10254,Diesel,145,41.5,2.1
7063, C Class,2019,23549,Semi-Auto,17549,Petrol,145,46.3,1.5
7064, E Class,2019,35699,Semi-Auto,8813,Diesel,145,48.7,3.0
7065, GLE Class,2019,47300,Semi-Auto,9840,Diesel,145,36.7,3.0
7066, C Class,2019,25500,Semi-Auto,7000,Diesel,145,64.2,2.0
7067, C Class,2016,30500,Automatic,18648,Petrol,300,34.0,3.0
7068, E Class,2019,37000,Semi-Auto,2837,Diesel,145,57.7,2.0
7069, GLC Class,2019,32000,Semi-Auto,6000,Diesel,145,44.8,2.0
7070, GLC Class,2019,32500,Semi-Auto,2000,Diesel,145,44.8,2.0
7071, GLC Class,2019,31400,Semi-Auto,7670,Diesel,145,44.8,2.0
7072, GLC Class,2019,32500,Semi-Auto,2677,Diesel,145,44.8,2.0
7073, CL Class,2020,27500,Semi-Auto,100,Petrol,145,45.6,1.3
7074, GLC Class,2019,35000,Semi-Auto,3806,Diesel,145,56.5,2.1
7075, C Class,2019,31400,Semi-Auto,100,Diesel,145,64.2,2.0
7076, GLE Class,2020,59000,Semi-Auto,2000,Diesel,145,32.5,3.0
7077, A Class,2020,22200,Semi-Auto,4020,Diesel,145,65.7,1.5
7078, C Class,2017,18510,Semi-Auto,27573,Diesel,30,64.2,2.1
7079, SL CLASS,2019,31200,Semi-Auto,50,Petrol,145,47.1,2.0
7080, E Class,2019,37000,Automatic,1600,Petrol,145,33.7,2.0
7081, GLC Class,2019,35495,Semi-Auto,382,Diesel,145,44.8,2.0
7082, GLC Class,2019,31500,Automatic,9000,Diesel,145,44.8,2.0
7083, C Class,2019,25299,Semi-Auto,10211,Petrol,145,46.3,1.5
7084, C Class,2019,25399,Semi-Auto,13654,Petrol,145,47.1,1.5
7085, C Class,2019,20849,Semi-Auto,10925,Diesel,145,61.4,2.0
7086, GLA Class,2019,23149,Semi-Auto,13136,Diesel,145,67.3,2.1
7087, E Class,2019,36699,Automatic,5745,Hybrid,135,188.3,2.0
7088, C Class,2019,25699,Semi-Auto,7521,Petrol,145,45.6,1.5
7089, GLA Class,2017,21599,Semi-Auto,14065,Diesel,145,56.5,2.1
7090, C Class,2019,28499,Semi-Auto,1867,Petrol,145,41.5,2.0
7091, GLC Class,2016,27899,Semi-Auto,11562,Diesel,125,56.5,2.1
7092, E Class,2017,22099,Semi-Auto,22645,Diesel,145,65.7,2.0
7093, GLA Class,2017,20799,Semi-Auto,15368,Diesel,145,56.5,2.1
7094, SL CLASS,2018,48799,Automatic,313,Petrol,145,36.7,3.0
7095, GLA Class,2017,21099,Semi-Auto,20000,Diesel,145,56.6,2.1
7096, C Class,2019,30149,Semi-Auto,10837,Diesel,145,54.3,2.0
7097, C Class,2019,33199,Automatic,3268,Petrol,145,42.2,2.0
7098, C Class,2019,26799,Semi-Auto,4793,Diesel,145,58.9,1.6
7099, C Class,2019,25199,Semi-Auto,4292,Petrol,145,44.1,1.5
7100, E Class,2019,32499,Automatic,5683,Diesel,145,70.6,2.0
7101, GLC Class,2019,35199,Automatic,4048,Diesel,145,56.5,2.1
7102, GLE Class,2019,49399,Automatic,5432,Diesel,145,36.7,3.0
7103, C Class,2019,25199,Semi-Auto,5910,Petrol,145,42.2,1.6
7104, A Class,2019,22899,Automatic,442,Diesel,145,62.8,1.5
7105, C Class,2019,27699,Automatic,5307,Diesel,145,60.1,1.6
7106, C Class,2019,30999,Semi-Auto,5831,Petrol,145,41.5,2.0
7107, E Class,2019,34500,Semi-Auto,3000,Diesel,145,70.6,2.0
7108, GLC Class,2019,44000,Semi-Auto,2900,Petrol,145,31.7,2.0
7109, E Class,2019,33350,Semi-Auto,3692,Diesel,145,45.6,2.0
7110, A Class,2019,24000,Semi-Auto,3000,Petrol,145,53.3,1.3
7111, A Class,2019,25000,Semi-Auto,7800,Petrol,145,53.3,1.3
7112, E Class,2019,36000,Semi-Auto,1667,Diesel,145,57.7,2.0
7113, C Class,2019,67000,Automatic,2800,Petrol,145,28.0,4.0
7114, B Class,2019,25500,Semi-Auto,1000,Diesel,145,55.4,2.0
7115, E Class,2017,20310,Semi-Auto,42150,Diesel,20,72.4,2.0
7116, A Class,2020,26000,Semi-Auto,1000,Petrol,145,53.3,1.3
7117, GLC Class,2019,32500,Semi-Auto,2000,Diesel,145,44.8,2.0
7118, C Class,2019,20449,Semi-Auto,13810,Diesel,145,61.4,2.0
7119, GLC Class,2019,30299,Semi-Auto,11875,Diesel,145,56.5,2.1
7120, C Class,2019,29799,Semi-Auto,9168,Diesel,145,57.7,2.0
7121, C Class,2019,20299,Semi-Auto,14029,Petrol,145,46.3,1.5
7122, C Class,2019,20249,Semi-Auto,14481,Petrol,145,46.3,1.5
7123, CLS Class,2017,19799,Semi-Auto,46943,Diesel,145,57.7,2.1
7124, C Class,2019,31899,Semi-Auto,4388,Petrol,145,46.3,1.5
7125, C Class,2019,31499,Semi-Auto,3624,Diesel,145,64.2,2.0
7126, C Class,2019,35199,Semi-Auto,2086,Petrol,145,44.1,1.5
7127, S Class,2019,55499,Automatic,2983,Diesel,145,52.3,3.0
7128, S Class,2019,95099,Semi-Auto,1022,Petrol,145,34.0,4.0
7129, C Class,2019,27699,Semi-Auto,1714,Petrol,145,45.6,1.5
7130, CLS Class,2019,39999,Semi-Auto,3194,Diesel,145,45.6,2.0
7131, A Class,2019,26799,Semi-Auto,3895,Diesel,145,56.5,2.0
7132, GLA Class,2019,24999,Semi-Auto,1000,Diesel,145,64.2,2.1
7133, C Class,2019,32549,Automatic,1000,Diesel,145,64.2,2.0
7134, A Class,2019,115359,Semi-Auto,1000,Petrol,145,30.1,4.0
7135, S Class,2019,86699,Automatic,1314,Petrol,145,34.0,4.0
7136, E Class,2019,39129,Semi-Auto,1000,Hybrid,135,188.3,2.0
7137, GLC Class,2019,74319,Semi-Auto,1000,Petrol,145,21.6,4.0
7138, GLC Class,2019,32749,Semi-Auto,1000,Diesel,145,44.8,2.0
7139, A Class,2019,24669,Semi-Auto,1000,Petrol,145,28.5,2.0
7140, A Class,2019,25399,Automatic,5976,Diesel,145,56.5,2.0
7141, A Class,2019,22799,Semi-Auto,2015,Petrol,145,53.3,1.3
7142, B Class,2019,26899,Semi-Auto,2369,Diesel,145,55.4,2.0
7143, SL CLASS,2019,30799,Semi-Auto,314,Petrol,145,47.9,2.0
7144, GLA Class,2019,23599,Semi-Auto,10288,Diesel,145,67.3,2.1
7145, E Class,2019,25599,Semi-Auto,9396,Diesel,145,72.4,2.0
7146, SL CLASS,2019,47789,Automatic,2000,Petrol,145,36.7,3.0
7147, C Class,2019,29849,Semi-Auto,2303,Petrol,145,44.1,2.0
7148, C Class,2019,29099,Semi-Auto,7027,Petrol,145,44.1,2.0
7149, GLA Class,2019,23899,Semi-Auto,12131,Diesel,145,67.3,2.1
7150, C Class,2018,23249,Automatic,8724,Petrol,145,46.3,1.5
7151, C Class,2018,22899,Automatic,11124,Petrol,145,46.3,1.5
7152, B Class,2019,22299,Semi-Auto,12429,Petrol,145,45.6,1.3
7153, C Class,2016,18699,Semi-Auto,38265,Diesel,30,64.2,2.1
7154, A Class,2020,25879,Semi-Auto,1000,Petrol,145,53.3,1.3
7155, A Class,2020,25879,Semi-Auto,1000,Petrol,145,53.3,1.3
7156, C Class,2016,17999,Semi-Auto,28984,Diesel,30,64.2,2.1
7157, C Class,2019,20999,Semi-Auto,13070,Diesel,145,61.4,2.0
7158, C Class,2019,26999,Semi-Auto,8714,Diesel,145,61.4,2.0
7159, C Class,2019,29799,Semi-Auto,11576,Diesel,145,57.7,2.0
7160, C Class,2019,25349,Semi-Auto,9172,Petrol,145,46.3,1.5
7161, C Class,2019,20699,Semi-Auto,14593,Diesel,145,61.4,2.0
7162, C Class,2016,16499,Semi-Auto,35459,Diesel,20,64.2,2.1
7163, C Class,2020,48879,Semi-Auto,1000,Petrol,145,29.7,3.0
7164, C Class,2018,18799,Semi-Auto,14731,Petrol,145,46.3,1.5
7165, GLA Class,2019,26049,Semi-Auto,9556,Diesel,145,56.5,2.1
7166, C Class,2016,18449,Semi-Auto,23077,Diesel,30,64.2,2.1
7167, A Class,2017,14149,Manual,22850,Diesel,145,72.4,1.5
7168, A Class,2016,15549,Semi-Auto,45809,Diesel,20,68.9,2.1
7169, CLS Class,2018,34499,Semi-Auto,5611,Diesel,145,48.7,2.9
7170, E Class,2017,21299,Semi-Auto,32335,Diesel,20,67.3,2.0
7171, C Class,2019,24999,Semi-Auto,6330,Petrol,145,45.6,1.5
7172, C Class,2019,31199,Semi-Auto,4979,Petrol,145,41.5,2.0
7173, C Class,2019,20149,Semi-Auto,11761,Petrol,145,46.3,1.5
7174, S Class,2019,48499,Semi-Auto,8365,Diesel,145,52.3,3.0
7175, B Class,2019,21599,Semi-Auto,14088,Petrol,145,45.6,1.3
7176, E Class,2019,24799,Semi-Auto,14145,Diesel,145,72.4,2.0
7177, CL Class,2019,26199,Semi-Auto,12285,Diesel,145,51.4,2.2
7178, GLE Class,2017,29249,Semi-Auto,29261,Diesel,145,42.8,3.0
7179, C Class,2019,20449,Semi-Auto,13865,Diesel,145,61.4,2.0
7180, E Class,2019,28249,Semi-Auto,14833,Diesel,145,58.9,2.0
7181, A Class,2020,25879,Semi-Auto,1000,Petrol,145,53.3,1.3
7182, C Class,2019,30499,Semi-Auto,9426,Diesel,145,54.3,2.0
7183, E Class,2017,19699,Semi-Auto,48420,Diesel,145,65.7,2.0
7184, C Class,2019,31699,Semi-Auto,3723,Diesel,145,57.7,2.0
7185, E Class,2019,24699,Semi-Auto,14735,Diesel,145,72.4,2.0
7186, C Class,2019,25549,Semi-Auto,14874,Diesel,145,61.4,2.0
7187, C Class,2019,24799,Semi-Auto,19484,Diesel,145,61.4,2.0
7188, C Class,2019,25199,Semi-Auto,5856,Diesel,145,61.4,2.0
7189, C Class,2019,25949,Semi-Auto,10201,Petrol,145,47.1,1.5
7190, A Class,2019,22799,Semi-Auto,13727,Petrol,145,53.3,1.3
7191, C Class,2019,19899,Semi-Auto,13359,Petrol,145,46.3,1.5
7192, C Class,2018,22549,Semi-Auto,5437,Petrol,145,46.3,1.5
7193, GLA Class,2019,23299,Semi-Auto,11339,Diesel,145,67.3,2.1
7194, C Class,2019,19849,Semi-Auto,14085,Petrol,145,46.3,1.5
7195, C Class,2019,24999,Semi-Auto,11842,Petrol,145,46.3,1.5
7196, C Class,2019,25649,Semi-Auto,8108,Petrol,145,46.3,1.5
7197, C Class,2019,25149,Semi-Auto,15184,Petrol,145,47.1,1.5
7198, C Class,2019,26049,Semi-Auto,9785,Petrol,145,47.1,1.5
7199, C Class,2019,29249,Semi-Auto,12972,Diesel,145,57.7,2.0
7200, GLC Class,2019,32949,Semi-Auto,2424,Diesel,145,42.2,2.1
7201, E Class,2019,35349,Semi-Auto,11798,Diesel,145,48.7,3.0
7202, GLA Class,2018,19399,Manual,12471,Diesel,145,64.2,2.1
7203, A Class,2019,23338,Semi-Auto,2009,Petrol,150,28.5,1.3
7204, C Class,2014,11999,Semi-Auto,28000,Petrol,150,47.9,1.6
7205, A Class,2019,19499,Semi-Auto,12755,Diesel,150,68.9,1.5
7206, E Class,2018,24399,Semi-Auto,14413,Diesel,150,72.4,2.0
7207, A Class,2017,16599,Semi-Auto,21000,Petrol,125,53.3,1.6
7208, GLA Class,2016,20999,Semi-Auto,40000,Petrol,205,43.5,2.0
7209, C Class,2019,25399,Semi-Auto,3585,Petrol,145,44.1,1.5
7210, C Class,2019,20799,Semi-Auto,13356,Diesel,145,61.4,2.0
7211, C Class,2019,20299,Semi-Auto,14375,Diesel,145,61.4,2.0
7212, A Class,2019,20699,Semi-Auto,12082,Petrol,145,28.5,1.3
7213, E Class,2019,25199,Semi-Auto,10315,Diesel,145,72.4,2.0
7214, CLS Class,2019,41999,Semi-Auto,11763,Diesel,145,47.9,2.9
7215, B Class,2019,22299,Semi-Auto,13700,Petrol,145,45.6,1.3
7216, GLC Class,2019,43999,Semi-Auto,8370,Diesel,145,40.4,2.0
7217, A Class,2019,34099,Semi-Auto,2700,Petrol,145,35.3,2.0
7218, B Class,2017,13599,Manual,21000,Diesel,145,68.9,1.5
7219, A Class,2019,22699,Semi-Auto,3252,Diesel,145,65.7,1.5
7220, C Class,2014,14999,Semi-Auto,39501,Diesel,20,64.2,2.1
7221, A Class,2017,18749,Semi-Auto,7100,Petrol,145,52.3,1.6
7222, E Class,2019,75099,Semi-Auto,1000,Petrol,150,31.0,4.0
7223, E Class,2016,19349,Semi-Auto,13177,Diesel,20,72.4,2.0
7224, A Class,2018,16699,Semi-Auto,25000,Diesel,145,65.7,1.5
7225, E Class,2017,19999,Semi-Auto,29392,Diesel,145,72.4,2.0
7226, C Class,2017,37199,Semi-Auto,5376,Petrol,145,35.3,3.0
7227, C Class,2019,26299,Semi-Auto,9163,Petrol,145,46.3,1.5
7228, A Class,2017,14999,Manual,20454,Diesel,145,72.4,1.5
7229, C Class,2019,19999,Semi-Auto,13591,Petrol,145,46.3,1.5
7230, A Class,2019,25899,Semi-Auto,1892,Diesel,145,56.5,2.0
7231, A Class,2017,13999,Manual,24556,Diesel,145,72.4,1.5
7232, C Class,2019,29399,Semi-Auto,4208,Diesel,145,57.7,2.0
7233, A Class,2019,22799,Manual,66,Petrol,145,28.5,1.3
7234, A Class,2019,22799,Manual,326,Petrol,145,28.5,1.3
7235, A Class,2019,22799,Manual,116,Petrol,145,28.5,1.3
7236, A Class,2019,25299,Manual,1010,Petrol,145,47.1,1.3
7237, GLA Class,2019,24799,Semi-Auto,8045,Diesel,145,64.2,2.1
7238, C Class,2019,36599,Semi-Auto,124,Petrol,145,41.5,2.0
7239, C Class,2019,33699,Semi-Auto,2200,Diesel,145,57.7,2.0
7240, E Class,2019,46899,Semi-Auto,1171,Diesel,145,47.1,3.0
7241, C Class,2019,49499,Semi-Auto,358,Petrol,145,29.1,3.0
7242, CL Class,2019,30599,Semi-Auto,166,Petrol,145,39.8,2.0
7243, A Class,2020,25479,Semi-Auto,1000,Petrol,145,53.3,1.3
7244, A Class,2020,25879,Semi-Auto,1000,Petrol,145,53.3,1.3
7245, A Class,2020,25879,Semi-Auto,1000,Petrol,145,53.3,1.3
7246, A Class,2020,25879,Semi-Auto,1000,Petrol,145,53.3,1.3
7247, A Class,2020,25879,Semi-Auto,1000,Petrol,145,53.3,1.3
7248, A Class,2020,25879,Semi-Auto,1000,Petrol,145,53.3,1.3
7249, B Class,2019,22199,Semi-Auto,13637,Petrol,145,45.6,1.3
7250, A Class,2020,25879,Semi-Auto,1000,Petrol,145,53.3,1.3
7251, S Class,2019,53999,Semi-Auto,3835,Diesel,145,52.3,3.0
7252, A Class,2020,25729,Semi-Auto,1000,Petrol,145,53.3,1.3
7253, B Class,2019,24699,Semi-Auto,1583,Petrol,145,44.8,1.3
7254, GLC Class,2018,60799,Semi-Auto,1563,Petrol,145,26.4,4.0
7255, C Class,2019,35499,Semi-Auto,1023,Petrol,145,44.1,1.5
7256, E Class,2019,35099,Semi-Auto,2339,Diesel,145,45.6,2.0
7257, GLE Class,2019,55599,Semi-Auto,1594,Diesel,145,32.8,2.9
7258, GLE Class,2019,57799,Semi-Auto,1706,Diesel,145,32.5,2.9
7259, C Class,2019,31899,Semi-Auto,1733,Diesel,145,64.2,2.0
7260, C Class,2019,35299,Semi-Auto,100,Diesel,145,55.4,2.0
7261, C Class,2019,32399,Semi-Auto,2008,Petrol,145,46.3,1.5
7262, C Class,2019,29699,Semi-Auto,1906,Petrol,145,47.1,1.5
7263, E Class,2019,34899,Semi-Auto,4772,Diesel,145,70.6,2.0
7264, E Class,2019,33399,Semi-Auto,2582,Diesel,145,45.6,2.0
7265, E Class,2019,42399,Semi-Auto,2293,Petrol,145,32.9,2.0
7266, C Class,2019,66699,Semi-Auto,630,Petrol,145,28.5,4.0
7267, E Class,2019,56499,Semi-Auto,74,Petrol,145,31.7,3.0
7268, E Class,2019,50299,Semi-Auto,1000,Petrol,145,32.5,3.0
7269, SL CLASS,2019,32599,Semi-Auto,33,Petrol,145,47.1,2.0
7270, GLC Class,2019,34299,Semi-Auto,1224,Diesel,145,42.2,2.1
7271, C Class,2019,31609,Semi-Auto,1000,Diesel,145,64.2,2.0
7272, CL Class,2019,22699,Semi-Auto,7337,Petrol,145,44.1,1.6
7273, CLS Class,2019,45799,Semi-Auto,164,Petrol,145,31.4,2.0
7274, E Class,2018,59899,Semi-Auto,89,Petrol,145,30.1,4.0
7275, GLC Class,2019,32919,Semi-Auto,1000,Diesel,145,44.8,2.0
7276, A Class,2019,24669,Semi-Auto,1000,Diesel,145,65.7,1.5
7277, C Class,2019,31779,Semi-Auto,1000,Diesel,145,54.3,1.6
7278, E Class,2017,20749,Semi-Auto,30123,Diesel,145,61.4,2.0
7279, A Class,2018,24499,Semi-Auto,5500,Diesel,145,67.3,1.5
7280, A Class,2019,22899,Semi-Auto,405,Diesel,145,56.5,2.0
7281, S Class,2019,54999,Semi-Auto,369,Diesel,145,52.3,3.0
7282, A Class,2019,24099,Semi-Auto,4297,Petrol,145,53.3,1.3
