,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
111, C Class,2018,18051,Automatic,11319,Diesel,145,65.7,1.6
112, C Class,2019,24433,Automatic,2326,Petrol,145,46.3,1.5
113, GLC Class,2019,37116,Automatic,6250,Diesel,145,40.9,2.0
114, GLA Class,2019,22375,Automatic,13850,Diesel,145,67.3,2.1
115, C Class,2019,24915,Automatic,13101,Diesel,145,61.4,2.0
116, E Class,2019,29991,Automatic,10356,Diesel,145,70.6,2.0
117, A Class,2019,22596,Automatic,5382,Diesel,145,62.8,1.5
118, A Class,2019,22730,Automatic,1521,Diesel,145,56.5,2.0
119, C Class,2019,26154,Automatic,14696,Diesel,145,56.5,2.0
120, E Class,2020,35438,Automatic,3500,Diesel,145,42.8,2.0
121, C Class,2019,27980,Automatic,3168,Diesel,145,55.4,2.0
122, C Class,2019,28250,Automatic,3477,Diesel,145,61.4,2.0
123, B Class,2019,23280,Automatic,6441,Petrol,145,44.1,1.3
124, C Class,2017,15700,Automatic,19023,Diesel,145,65.7,2.1
125, CLA Class,2017,18790,Automatic,8423,Diesel,150,67.3,2.1
126, GLE Class,2020,54995,Automatic,6700,Diesel,150,32.8,3.0
127, A Class,2018,20450,Automatic,6511,Diesel,150,65.7,1.5
128, A Class,2014,11980,Automatic,66690,Diesel,20,64.2,2.1
129, C Class,2017,19890,Automatic,26878,Petrol,150,48.7,2.0
130, GLA Class,2018,20350,Automatic,24556,Diesel,145,56.5,2.1
131, E Class,2017,22890,Automatic,34934,Diesel,150,61.4,2.0
132, A Class,2017,18890,Automatic,7875,Petrol,150,53.3,1.6
133, B Class,2017,15480,Automatic,23290,Diesel,20,68.9,2.1
134, E Class,2016,16480,Automatic,48889,Diesel,125,58.9,2.1
135, CLA Class,2017,20480,Automatic,31949,Diesel,150,58.9,2.1
136, GLC Class,2016,25780,Automatic,34358,Diesel,125,56.5,2.1
137, C Class,2017,21000,Automatic,25000,Hybrid,140,134.5,2.0
138, GLA Class,2016,17800,Automatic,34092,Diesel,125,56.6,2.1
139, B Class,2019,20700,Automatic,14931,Petrol,145,45.6,1.3
140, C Class,2016,17890,Automatic,44184,Petrol,125,50.4,2.0
141, C Class,2009,4200,Automatic,96000,Diesel,235,42.2,2.1
142, E Class,2017,20998,Semi-Auto,21352,Diesel,20,72.4,2.0
143, GLA Class,2015,18998,Semi-Auto,33114,Diesel,125,56.5,2.1
144, C Class,2017,24998,Semi-Auto,28234,Petrol,160,43.5,2.0
145, CL Class,2015,17498,Manual,15557,Petrol,125,50.4,1.6
146, C Class,2016,19498,Semi-Auto,22803,Diesel,30,61.4,2.1
147, C Class,2018,23498,Semi-Auto,17093,Diesel,145,67.3,2.1
148, E Class,2014,15998,Semi-Auto,43125,Diesel,200,45.6,3.0
149, S Class,2016,28498,Semi-Auto,30135,Diesel,200,47.9,3.0
150, CL Class,2015,16498,Manual,25920,Petrol,125,51.4,1.6
151, GLC Class,2020,37998,Semi-Auto,5538,Diesel,150,40.9,2.0
152, C Class,2014,16995,Automatic,37600,Diesel,30,64.2,2.1
153, A Class,2016,27995,Automatic,13000,Petrol,200,40.9,2.0
154, S Class,2015,29995,Automatic,17700,Diesel,200,48.7,3.0
155, GLC Class,2017,26995,Semi-Auto,37950,Diesel,145,56.5,2.1
156, C Class,2017,24995,Automatic,14000,Petrol,145,47.1,2.0
157, GLE Class,2016,29995,Automatic,27700,Diesel,200,47.9,2.1
158, A Class,2019,18995,Semi-Auto,21400,Petrol,145,53.3,1.3
159, B Class,2015,11995,Semi-Auto,41500,Diesel,20,67.3,1.5
160, G Class,2015,52995,Semi-Auto,34400,Diesel,570,25.2,3.0
161, E Class,2017,23995,Semi-Auto,19300,Diesel,30,65.7,2.0
162, E Class,2015,17698,Semi-Auto,27622,Diesel,145,54.3,3.0
163, CLS Class,2014,15998,Semi-Auto,31815,Diesel,145,54.3,2.1
164, E Class,2016,20298,Semi-Auto,25273,Diesel,145,54.3,3.0
165, C Class,2014,12998,Semi-Auto,52712,Diesel,20,64.2,2.1
166, A Class,2013,11998,Semi-Auto,54060,Diesel,30,64.2,2.1
167, C Class,2017,17998,Semi-Auto,59858,Diesel,145,64.2,2.1
168, GLA Class,2016,16998,Semi-Auto,50543,Diesel,125,56.5,2.1
169, S Class,2019,48998,Semi-Auto,375,Diesel,145,52.3,3.0
170, C Class,2019,28998,Manual,22,Petrol,145,48.7,1.6
171, E Class,2019,46998,Semi-Auto,3325,Petrol,145,32.5,3.0
172, A Class,2017,17498,Semi-Auto,16244,Diesel,145,74.3,1.5
173, S Class,2016,26498,Semi-Auto,36121,Diesel,200,47.9,3.0
174, B Class,2013,8998,Semi-Auto,46108,Diesel,30,64.2,1.8
175, GLA Class,2016,19498,Semi-Auto,27846,Diesel,125,56.5,2.1
176, E Class,2017,20498,Semi-Auto,20195,Diesel,20,72.4,2.0
177, C Class,2018,22998,Semi-Auto,18739,Diesel,150,60.1,2.1
178, C Class,2016,12998,Manual,53453,Diesel,20,70.6,2.1
179, C Class,2016,22998,Semi-Auto,23090,Diesel,30,65.7,2.1
180, S Class,2015,27998,Semi-Auto,14158,Diesel,200,47.9,3.0
181, S Class,2015,26498,Semi-Auto,27343,Diesel,200,48.7,3.0
182, V Class,2017,27998,Semi-Auto,58590,Diesel,235,44.8,2.2
183, E Class,2019,36998,Semi-Auto,5211,Diesel,145,70.6,2.0
184, GLC Class,2017,26998,Semi-Auto,9172,Diesel,145,56.5,2.1
185, E Class,2015,19498,Semi-Auto,26999,Diesel,160,51.4,3.0
186, C Class,2019,25498,Semi-Auto,8150,Diesel,145,60.1,1.6
187, E Class,2019,28998,Semi-Auto,26100,Diesel,145,65.7,2.0
188, C Class,2019,24998,Semi-Auto,9344,Diesel,145,55.4,2.0
189, GLA Class,2020,27998,Semi-Auto,3930,Petrol,150,35.8,1.6
190, GLC Class,2019,35998,Semi-Auto,7540,Diesel,145,40.9,2.0
191, GLC Class,2019,32998,Semi-Auto,12831,Diesel,145,44.8,2.0
192, GLE Class,2016,24998,Semi-Auto,42913,Diesel,200,47.9,2.1
193, C Class,2017,21498,Semi-Auto,20981,Diesel,30,64.2,2.1
194, E Class,2017,20998,Semi-Auto,22930,Diesel,145,72.4,2.0
195, S Class,2016,25498,Semi-Auto,44072,Diesel,200,47.9,3.0
196, B Class,2015,13498,Semi-Auto,20789,Diesel,20,67.3,1.5
197, A Class,2016,16998,Semi-Auto,29160,Diesel,20,67.3,2.1
198, SL CLASS,2019,32998,Semi-Auto,2403,Petrol,145,47.1,2.0
199, B Class,2019,21498,Manual,4653,Petrol,145,45.6,1.3
200, E Class,2014,13998,Semi-Auto,33404,Diesel,125,58.9,2.1
201, C Class,2017,18998,Semi-Auto,23760,Diesel,30,64.2,2.1
202, C Class,2016,17998,Manual,26100,Diesel,20,68.9,2.1
203, C Class,2019,28498,Semi-Auto,4285,Diesel,145,61.4,2.0
204, C Class,2016,18998,Semi-Auto,28388,Diesel,30,64.2,1.6
205, A Class,2019,19498,Semi-Auto,14899,Diesel,145,68.9,1.5
206, C Class,2017,20998,Semi-Auto,16902,Diesel,145,60.1,2.1
207, B Class,2019,20998,Semi-Auto,10713,Petrol,145,45.6,1.3
208, M Class,2015,21498,Semi-Auto,43339,Diesel,200,39.2,2.1
209, E Class,2017,19998,Semi-Auto,46230,Diesel,145,67.3,2.0
210, SL CLASS,2017,19498,Semi-Auto,29114,Diesel,30,70.6,2.1
211, E Class,2016,20498,Semi-Auto,37915,Diesel,160,51.4,3.0
212, SL CLASS,2017,22498,Semi-Auto,11534,Diesel,145,70.6,2.1
213, SL CLASS,2017,20998,Semi-Auto,18739,Diesel,145,70.6,2.1
214, E Class,2017,20998,Semi-Auto,27671,Diesel,145,72.4,2.0
215, A Class,2015,18998,Semi-Auto,23247,Petrol,200,42.8,2.0
216, C Class,2018,27498,Semi-Auto,9255,Diesel,145,57.7,2.0
217, C Class,2016,16998,Semi-Auto,26973,Diesel,30,65.7,1.6
218, E Class,2017,22998,Semi-Auto,16910,Diesel,145,65.7,2.0
219, S Class,2015,24498,Semi-Auto,28191,Diesel,200,47.9,3.0
220, C Class,2018,27498,Semi-Auto,12491,Diesel,145,65.7,2.1
221, A Class,2015,16998,Semi-Auto,39587,Petrol,200,42.8,2.0
222, GLA Class,2015,17998,Semi-Auto,42942,Petrol,200,42.8,2.0
223, GLC Class,2016,23498,Semi-Auto,46259,Diesel,125,56.5,2.1
224, A Class,2017,18298,Semi-Auto,7919,Diesel,145,68.9,2.1
225, A Class,2019,22998,Semi-Auto,3770,Petrol,150,53.3,1.3
226, C Class,2014,26998,Semi-Auto,24175,Petrol,570,23.5,6.2
227, V Class,2018,19998,Manual,14941,Diesel,145,46.3,2.1
228, V Class,2018,19498,Manual,21525,Diesel,145,46.3,2.1
229, C Class,2014,15998,Semi-Auto,26216,Diesel,30,64.2,2.1
230, C Class,2013,9298,Semi-Auto,80485,Diesel,145,54.3,2.1
231, CL Class,2014,17298,Semi-Auto,33274,Diesel,30,62.8,2.1
232, C Class,2018,20489,Semi-Auto,16900,Diesel,145,61.4,2.1
233, M Class,2013,15990,Automatic,51800,Diesel,200,44.8,2.1
234, A Class,2013,9995,Semi-Auto,47000,Diesel,20,68.9,1.8
235, GL Class,2014,24498,Automatic,67833,Diesel,325,35.3,3.0
236, V Class,2016,26490,Semi-Auto,32494,Diesel,200,45.6,2.2
237, A Class,2018,22990,Semi-Auto,5491,Petrol,145,45.6,2.0
238, A Class,2018,19995,Semi-Auto,2348,Petrol,145,53.3,1.3
239, GLA Class,2017,17850,Manual,18692,Petrol,145,48.7,1.6
240, A Class,2016,15000,Manual,30761,Diesel,30,62.8,2.1
241, C Class,2017,13800,Manual,34015,Diesel,145,70.6,2.1
242, V Class,2018,20498,Manual,22011,Diesel,145,46.3,2.1
243, C Class,2014,15498,Semi-Auto,36243,Diesel,30,64.2,2.1
244, A Class,2019,18995,Semi-Auto,3150,Diesel,145,65.7,1.5
245, C Class,2017,20995,Semi-Auto,33000,Diesel,145,58.9,2.1
246, C Class,2018,31995,Semi-Auto,11300,Petrol,150,36.2,3.0
247, A Class,2017,16995,Semi-Auto,25800,Diesel,150,68.9,2.1
248, CL Class,2015,17995,Automatic,41100,Diesel,20,67.3,2.1
249, GLC Class,2016,28995,Semi-Auto,31600,Diesel,145,56.5,2.1
250, V Class,2018,35995,Automatic,7000,Diesel,145,45.6,2.2
251, C Class,2017,23995,Semi-Auto,32800,Diesel,30,65.7,2.1
252, GLA Class,2015,16998,Semi-Auto,42129,Diesel,125,56.5,2.1
253, GLC Class,2016,21998,Semi-Auto,49986,Diesel,125,56.5,2.1
254, GLA Class,2017,30498,Semi-Auto,20085,Petrol,145,38.2,2.0
255, C Class,2019,27698,Semi-Auto,14999,Diesel,145,55.4,2.0
256, C Class,2016,27498,Semi-Auto,37941,Petrol,260,35.8,3.0
257, C Class,2019,32498,Semi-Auto,11301,Diesel,145,61.4,2.0
258, GLE Class,2019,54498,Semi-Auto,6279,Diesel,145,32.8,3.0
259, GL Class,2016,34998,Semi-Auto,32726,Diesel,325,36.2,3.0
260, GLC Class,2016,28998,Semi-Auto,16742,Diesel,145,56.5,2.1
